*********************************************************************************************************************
*    Row   *       RunNum * LumiBlockNum *       EvtNum *           HT *          MHT * JetsHOEnergy * CaloMHT/PFMH *
*    67553 *       202178 *         1262 *   1411154787 * 824.31567382 * 229.46374511 * 0.5648631368 * 0.8430278194 *
*    68439 *       202272 *          234 *    263074663 * 1263.8214111 * 524.38580322 * 0.8626856380 * 0.3572668662 *
*    69938 *       202328 *          149 *    194918140 * 1345.9757080 * 898.43994140 * 0.5500811739 * 0.4375886886 *
*    70095 *       202328 *          431 *    641477715 * 1685.1252441 * 207.06037902 * 0.3197254493 * 0.5120781207 *
*    70926 *       202478 *          136 *    150023388 * 661.20959472 * 285.46105957 * 0.3417678348 * 0.6042024535 *
*    71368 *       202504 *          118 *    109894587 * 1255.6492919 * 765.26678466 * 0.8237059704 * 0.1442602170 *
*    71888 *       202504 *          647 *    831437665 * 1240.6650390 * 302.13565063 * 0.6163521037 * 0.5106923157 *
*    72198 *       202972 *            1 *       683511 * 1140.8249511 * 287.27502441 * 0.6002591399 * 0.6002364919 *
*    72745 *       202973 *          386 *    400879441 * 797.17926025 * 228.19676208 * 0.4686834721 * 0.5988420808 *
*    72967 *       202973 *          670 *    646955111 * 758.43469238 * 210.05763244 * 0.3501379510 * 0.7257088795 *
*    74738 *       199409 *          480 *    601235362 *   712.015625 * 386.64538574 * 0.3504926821 * 0.6969276684 *
*    75217 *       199409 *          867 *   1012382128 * 743.57055664 * 200.92512512 * 0.6303536708 * 0.5257597512 *
*    77753 *       199436 *          240 *    170997335 * 1172.0992431 * 218.03631591 * 0.6691493092 * 0.8332630006 *
*    78603 *       199571 *          385 *    411330454 * 1903.6086425 *   281.703125 * 0.5054359683 * 0.6957091049 *
*    79679 *       199608 *          232 *    270372220 * 917.96081543 * 234.38519287 * 0.4797064202 * 1.0863902533 *
*    79925 *       199608 *          652 *    761931867 * 1309.1069335 * 358.18563842 * 0.7162602886 * 0.4660476626 *
*    80888 *       199608 *         1836 *   1822895220 * 1054.5924072 * 216.74822998 * 0.6512443789 * 0.4800298659 *
*    82975 *       199754 *          370 *    397477059 * 1144.6832275 * 240.02441406 * 0.5967006308 * 0.5367143158 *
*    88577 *       205921 *          253 *    395796752 * 640.80279541 * 325.96566772 * 0.3621462368 * 0.7519603757 *
*    88668 *       205921 *          314 *    482546755 * 1225.9156494 * 218.87696838 * 0.5116701374 * 1.1526280679 *
*    88838 *       205921 *          694 *    943322351 * 836.65173339 * 440.79452514 * 0.8622455896 * 0.2824223178 *
*    90866 *       206243 *          297 *    462789941 * 740.75524902 * 260.02215576 * 0.3382405387 * 0.7794958362 *
*    93135 *       206446 *          540 *    777539546 * 827.88836669 * 275.09423828 * 0.8340099967 * 0.6423762475 *
*    93653 *       206448 *          419 *    406875065 * 830.25372314 * 295.96234130 * 0.7685587451 * 0.4032686732 *
*    94326 *       206466 *          412 *    685942050 * 1043.7385253 * 208.29772949 * 0.6426439109 * 0.4760463702 *
*    96205 *       206542 *          505 *    782839831 * 1470.2552490 * 378.36318969 * 0.5728360008 * 0.2652933025 *
*    97330 *       206598 *          399 *    332198676 * 1037.0169677 * 238.86016845 * 0.5048628734 * 0.3546596895 *
*    98771 *       206859 *          256 *    368190705 * 1846.8419189 * 337.78164672 * 0.5284001723 * 0.4659848294 *
*    99054 *       206859 *          658 *    965669990 * 950.73669433 * 233.84205627 * 0.6635273212 * 0.4958221406 *
*   101488 *       207214 *          498 *    765177660 * 1330.5554199 * 256.40979003 * 0.6038632684 * 0.5887319454 *
*   101964 *       207231 *           99 *     98927384 * 1092.4749755 * 213.08340454 * 0.5969518216 * 0.6073660791 *
*   102401 *       204113 *          623 *    908863979 * 1411.0550537 * 226.00172424 * 0.4994443068 * 0.4931452776 *
*   102413 *       204114 *           12 *     13238271 * 604.74499511 * 362.67111206 * 0.3418757406 * 0.7013044085 *
*   103191 *       207273 *          380 *    424643026 * 1632.2709960 * 271.77505493 * 0.5645307630 * 0.3308138767 *
*   104315 *       204250 *          128 *    111715209 * 709.52563476 * 222.29542541 * 0.8223247531 * 0.7974007768 *
*   104623 *       207372 *          221 *    338245660 * 943.79211425 * 232.12130737 * 0.7939388183 * 0.9481616917 *
*   110374 *       207922 *           96 *    108688495 * 1226.9886474 * 603.27410888 * 0.8292536871 * 0.1536915612 *
*   111347 *       208339 *          116 *    112139494 * 988.69335937 * 320.93484497 * 0.8266817585 * 0.5041844670 *
*   111423 *       208339 *          226 *    302050851 * 535.79095459 * 250.52929687 * 0.3592366516 * 0.8165671946 *
*   111771 *       208341 *          349 *    400725103 * 1701.6009521 * 363.24594116 * 0.6648962683 * 0.4535655893 *
*   111810 *       208341 *          303 *    352323178 * 833.42169189 * 396.07287597 * 0.7365237064 * 0.3696311658 *
*   112489 *       208357 *          392 *    406560648 * 748.17639160 * 280.45730590 * 0.8163615766 * 0.3768973152 *
*   112625 *       204554 *           33 *     27587042 * 1010.0194702 * 229.90086364 * 0.7299860353 * 1.0859403098 *
*   113349 *       208427 *          286 *    457167812 * 776.55352783 * 345.29479980 * 0.8248485712 * 0.2674223924 *
*   113725 *       208429 *          228 *    254315255 * 867.62915039 * 265.52493286 * 0.7817879738 * 0.5565966314 *
*   113801 *       208429 *          324 *    351856956 * 1315.6705322 * 517.67303466 * 0.8419308322 * 0.5720282424 *
*   114018 *       208487 *           14 *     20950359 * 933.83160400 * 244.17401123 * 0.5869718832 * 0.6710520461 *
*   115557 *       204555 *          218 *    144767535 * 587.49279785 * 402.83917236 * 0.4285852351 * 0.7155312549 *
*   116805 *       204577 *          439 *    556401745 * 780.51434326 * 293.68908691 * 0.7117364895 * 0.4197511400 *
*   117532 *       204601 *           31 *     44796780 * 1171.9245605 * 293.72348022 * 0.7490813828 * 0.4670975219 *
*   118484 *       205158 *          237 *    329295479 * 969.12963867 * 399.42822265 * 0.7972612870 * 0.3785830025 *
*   119905 *       205303 *          101 *    163778919 * 803.45928955 * 232.58865356 * 0.6880027460 * 0.2313585380 *
*   121204 *       205344 *         1395 *   1366887988 * 1448.6947021 * 593.96191406 * 0.8449857695 * 0.4824723844 *
*********************************************************************************************************************
==> 108 selected entries
