******************************************************************************************************
*    Row   *       RunNum * LumiBlockNum *       EvtNum *           HT *          MHT *        NJets *
*    40671 *       199877 *          789 *    754251676 * 619.06219482 * 235.70663452 *            5 *
*    41312 *       199961 *          195 *    206427459 * 541.20782470 * 201.01544189 *            4 *
*    41602 *       200041 *          165 *    181624764 * 572.38574218 * 508.68234252 *            3 *
*    44626 *       200091 *          265 *    315701809 * 571.53289794 * 290.25851440 *            5 *
*    45170 *       200091 *          898 *   1056748912 * 698.37145996 * 233.77781677 *            4 *
*    46345 *       200188 *          163 *    219395343 * 768.99682617 * 262.43136596 *            6 *
*    47097 *       200190 *          417 *    500064271 * 737.57519531 * 318.11840820 *            5 *
*    48478 *       200244 *          164 *    250627147 * 1342.3502197 * 237.07115173 *            3 *
*    49317 *       200369 *           20 *     21035835 * 565.40606689 * 283.80932617 *            3 *
*    49342 *       200369 *           40 *     45403526 *  881.0078125 * 202.87898254 *            3 *
*    49698 *       200369 *          528 *    559465424 * 739.60522460 * 266.10375976 *            3 *
*    51095 *       200491 *          102 *     76263188 * 641.01739502 * 433.80963134 *            3 *
*    51262 *       200491 *          259 *    327999909 * 627.00823974 * 252.93399047 *            3 *
*    53119 *       200600 *          131 *    210873215 * 560.01049804 * 241.97229003 *            3 *
*    54965 *       200992 *          243 *    213284529 * 771.41058349 *  289.9921875 *            3 *
*    55999 *       201164 *          323 *    469804717 * 592.84057617 * 203.12330627 *            3 *
*    56447 *       201173 *          562 *    450554086 * 885.58856201 * 248.93786621 *            3 *
*    56500 *       201174 *           56 *     38087642 * 661.88903808 * 301.38226318 *            4 *
*    57175 *       201278 *           78 *     56561768 * 635.15203857 * 362.86337280 *            3 *
*    57910 *       201278 *          998 *   1242893210 * 535.25097656 * 347.73547363 *            3 *
*    57962 *       201278 *         2174 *   2182700605 * 2019.8968505 * 273.75753784 *            6 *
*    59541 *       201625 *          327 *    491482318 * 562.50244140 * 284.41900634 *            3 *
*    60301 *       201669 *           78 *    141006437 * 1150.4372558 * 990.56616210 *            3 *
*    60322 *       201669 *           98 *    175386473 * 618.63983154 * 323.60485839 *            3 *
*    60368 *       201669 *          157 *    272351912 * 671.54705810 * 239.56800842 *            4 *
*    60547 *       201671 *          167 *    236653541 * 507.83251953 * 215.81578064 *            4 *
*    60839 *       201671 *          940 *   1092561018 * 1531.8051757 * 215.44297790 *            3 *
*    60860 *       201671 *          984 *   1134831911 * 671.63903808 * 252.56697082 *            6 *
*    61573 *       201707 *          263 *    362189045 * 1094.9283447 * 236.69056701 *            3 *
*    61597 *       201707 *          180 *    255745989 * 818.48663330 * 284.79327392 *            3 *
*    61793 *       201707 *          647 *    795018655 * 510.24835205 * 286.73699951 *            3 *
*    61914 *       201707 *          926 *   1095253241 * 1179.8035888 * 377.63323974 *            7 *
*    61991 *       201718 *           80 *     55539737 * 581.44415283 * 465.46646118 *            3 *
*    62325 *       199021 *         1145 *   1297728737 * 512.71728515 * 337.74996948 *            4 *
*    62544 *       201802 *          234 *    308173781 * 603.32141113 * 343.42837524 *            3 *
*    63727 *       202016 *         1000 *   1003400038 * 666.07635498 * 227.43089294 *            4 *
*    65504 *       202074 *          145 *    172497245 * 714.49359130 * 227.21791076 *            3 *
*    65817 *       202075 *          534 *    694694564 * 699.65777587 * 251.56486511 *            5 *
*    66756 *       202093 *          111 *     78417136 * 687.52453613 * 388.00906372 *            3 *
*    66943 *       202178 *          158 *    166139143 * 596.67272949 * 272.50863647 *            3 *
*    66985 *       202178 *          244 *    295452040 * 685.30792236 * 287.40359497 *            4 *
*    67035 *       202178 *          401 *    505756853 * 547.12658691 * 224.82540893 *            3 *
*    67101 *       202178 *          589 *    723618660 * 1193.4180908 * 296.59976196 *            5 *
*    68269 *       202237 *          941 *   1262036093 * 609.23406982 * 210.78077697 *            4 *
*    69240 *       202299 *          280 *    384750804 * 638.28265380 * 202.10684204 *            3 *
*    70107 *       202328 *          455 *    674799274 * 1002.2965087 * 382.59896850 *            5 *
*    70587 *       202472 *           14 *     19688464 * 790.91174316 * 298.07254028 *            4 *
*    70596 *       202472 *           18 *     26047810 * 709.81359863 * 210.47201538 *            6 *
*    71209 *       202478 *          732 *    780354914 * 655.47631835 * 249.73490905 *            4 *
*    71717 *       199336 *          256 *    246723361 * 699.01959228 * 227.59571838 *            3 *
*    71962 *       202504 *         1370 *   1552287475 * 512.41827392 * 301.53250122 *            4 *
*    72566 *       202973 *          305 *    323490452 * 889.48425293 * 359.12567138 *            7 *
*    72761 *       202973 *         1371 *   1164950576 * 652.94244384 * 232.35826110 *            4 *
*    72911 *       202973 *          889 *    817062008 * 701.10888671 * 219.17028808 *            3 *
*    73729 *       203002 *         1104 *   1339030889 * 992.81292724 * 226.03724670 *            7 *
*    74167 *       198955 *           48 *     60705907 * 944.52264404 * 221.19726562 *            3 *
*    74728 *       199409 *          445 *    563760749 * 512.47259521 * 246.34721374 *            5 *
*    75031 *       199409 *          629 *    754533782 * 558.46752929 * 270.83721923 *            3 *
*    75068 *       199409 *          869 *   1014237082 * 891.12158203 * 206.42469787 *            4 *
*    75293 *       199409 *         1064 *   1201298307 * 615.59906005 * 319.26312255 *            4 *
*    75423 *       199428 *           66 *     48129634 * 1364.1234130 * 216.48034668 *            4 *
*    75522 *       199428 *          119 *    130537558 * 578.34149169 * 223.69326782 *            4 *
*    76148 *       198955 *          288 *    339486992 * 755.61621093 * 262.05981445 *            4 *
*    77448 *       199436 *           57 *     41475672 * 559.07861328 * 240.57119751 *            4 *
*    77636 *       198955 *          698 *    796577950 * 500.24188232 * 205.88543701 *            3 *
