******************************************************************************************************
*    Row   *       RunNum * LumiBlockNum *       EvtNum *           HT *          MHT *        NJets *
*    80888 *       199608 *         1836 *   1822895220 * 1054.5924072 * 216.74822998 *            4 *
*    82975 *       199754 *          370 *    397477059 * 1144.6832275 * 240.02441406 *            4 *
*    87753 *       205826 *          155 *    189788512 * 647.83056640 * 224.98939514 *            5 *
*    88668 *       205921 *          314 *    482546755 * 1225.9156494 * 218.87696838 *            3 *
*    88838 *       205921 *          694 *    943322351 * 836.65173339 * 440.79452514 *            3 *
*    93135 *       206446 *          540 *    777539546 * 827.88836669 * 275.09423828 *            3 *
*    93653 *       206448 *          419 *    406875065 * 830.25372314 * 295.96234130 *            4 *
*    94326 *       206466 *          412 *    685942050 * 1043.7385253 * 208.29772949 *            4 *
*    96205 *       206542 *          505 *    782839831 * 1470.2552490 * 378.36318969 *            4 *
*    96546 *       206574 *           81 *    136059693 * 507.33096313 * 243.58776855 *            3 *
*    97330 *       206598 *          399 *    332198676 * 1037.0169677 * 238.86016845 *            3 *
*    98771 *       206859 *          256 *    368190705 * 1846.8419189 * 337.78164672 *            4 *
*    99054 *       206859 *          658 *    965669990 * 950.73669433 * 233.84205627 *            4 *
*   101488 *       207214 *          498 *    765177660 * 1330.5554199 * 256.40979003 *            4 *
*   101964 *       207231 *           99 *     98927384 * 1092.4749755 * 213.08340454 *            3 *
*   102401 *       204113 *          623 *    908863979 * 1411.0550537 * 226.00172424 *            4 *
*   103191 *       207273 *          380 *    424643026 * 1632.2709960 * 271.77505493 *            4 *
*   104315 *       204250 *          128 *    111715209 * 709.52563476 * 222.29542541 *            3 *
*   104623 *       207372 *          221 *    338245660 * 943.79211425 * 232.12130737 *            3 *
*   105220 *       207454 *          565 *    844661999 * 507.19268798 * 244.88064575 *            4 *
*   105359 *       207454 *          878 *   1213075143 * 591.16992187 * 391.17776489 *            3 *
*   110374 *       207922 *           96 *    108688495 * 1226.9886474 * 603.27410888 *            3 *
*   111347 *       208339 *          116 *    112139494 * 988.69335937 * 320.93484497 *            4 *
*   111771 *       208341 *          349 *    400725103 * 1701.6009521 * 363.24594116 *            4 *
*   111810 *       208341 *          303 *    352323178 * 833.42169189 * 396.07287597 *            3 *
*   112489 *       208357 *          392 *    406560648 * 748.17639160 * 280.45730590 *            5 *
*   112625 *       204554 *           33 *     27587042 * 1010.0194702 * 229.90086364 *            3 *
*   113349 *       208427 *          286 *    457167812 * 776.55352783 * 345.29479980 *            3 *
*   113725 *       208429 *          228 *    254315255 * 867.62915039 * 265.52493286 *            3 *
*   113801 *       208429 *          324 *    351856956 * 1315.6705322 * 517.67303466 *            4 *
*   114018 *       208487 *           14 *     20950359 * 933.83160400 * 244.17401123 *            3 *
*   115557 *       204555 *          218 *    144767535 * 587.49279785 * 402.83917236 *            3 *
*   116692 *       204577 *          199 *    273908627 * 1476.3458252 * 200.24220275 *            5 *
*   116805 *       204577 *          439 *    556401745 * 780.51434326 * 293.68908691 *            3 *
*   117532 *       204601 *           31 *     44796780 * 1171.9245605 * 293.72348022 *            4 *
*   118484 *       205158 *          237 *    329295479 * 969.12963867 * 399.42822265 *            3 *
*   119905 *       205303 *          101 *    163778919 * 803.45928955 * 232.58865356 *            3 *
*   121204 *       205344 *         1395 *   1366887988 * 1448.6947021 * 593.96191406 *            4 *
******************************************************************************************************
==> 111 selected entries
